ranking,昵称,抖音号,number of followers,gender,profession of the broadcaster,profession,Number of viewers,sales volume,销售额/万,value of sales,Word of mouth,Live broadcast times,Total products,Total duration of live broadcast
1053,专柜店长小小(每天上午11点开播),dyxiaoxiaoxiaoby,82071,female,穿搭,0,93881,2.0w,596.9,5.97,4.92,28,490,5天19时21分42秒
1054,琳三妹小号,AL201334,2123551,female,生活,10,189499,7.5w,596.4,5.96,4.69,75,28,7天1时5分38秒
1055,松石一哥工厂直播,mk61041279,93520,female,珠宝,0,72029,5.3w,596.4,5.96,4.9,23,5688,5天13时25分41秒
1056,La Chapelle官方female装店,LaChapelleFlagsh,181552,female,穿搭,0,79840,4.1w,596.2,5.96,4.98,84,259,11天5时11分18秒
1057,连咖啡,Coffeebox,167878,female,美食,7,31341,3.6w,595.9,5.96,4.98,33,32,16天1时42分38秒
1058,杭丝韵服饰,Hangsiyun1,439879,female,穿搭,0,32733,1.2w,595.8,5.96,4.84,80,309,20天7时19分16秒
1059,金小金自制female装（7点开播）,jinxiaojin888,976982,female,穿搭,0,349973,7.8w,595.8,5.96,4.88,20,151,4天3时42分14秒
1060,九乐手工银饰,1531208943,352957,female,珠宝,0,20304,3.2w,595.5,5.96,4.92,46,686,6天13时41分12秒
1061,轩阁墨香,moxiang6885,320811,female,穿搭,0,28559,9635,594,5.94,5,16,251,3天9时51分2秒
1062,蓝小熊好物家居,suprise510,500243,female,种草,14,661580,22.9w,594,5.94,4.83,26,225,8天11时38分9秒
1063,酒划算许佳,wukelanxujia,1176964,male,美食,7,20060,3.3w,593.7,5.94,4.96,81,48,19天20时4分46秒
1061,AROOM孕妇装,AROOM6666,832596,female,穿搭,0,94350,5.2w,593.2,5.93,4.8,27,177,11天3时57分30秒
1065,涵涵严选???♀?（直播中）,62101013199,114748,female,种草,14,318098,15.0w,592.8,5.93,4.89,4,15,4天8时49分45秒
1066,佩兰诗精选护肤,changzhanghufu,873452,female,美妆,8,74021,3.9w,592.7,5.93,4.85,39,136,11天20时10分
1067,丹老大严选,chenxiaodan5200,378903,female,生活,10,33133,2.6w,592.5,5.93,4.89,12,141,2天18时31分33秒
1068,心上折扣奢品站,xinshangwanbiao,37909,male,珠宝,0,10018,1712,592.5,5.93,4.73,95,8736,18天7时7分44秒
1069,雅韵桑蚕丝,sangcansi88,207295,female,穿搭,0,96719,1.6w,591.9,5.92,4.71,36,195,3天13时41分14秒
1070,瑞丽七哥,RL_7ge,78781,male,珠宝,0,25177,2694,591.7,5.92,4.43,63,1456,14天22时34分19秒
1071,琨儿（七点见）,3720860,167062,female,穿搭,0,32714,11.4w,591.7,5.92,4.95,41,788,4天20时58分48秒
1072,MOUSSY,872205866,77013,female,穿搭,0,26258,1.7w,589.5,5.9,1.86,65,254,16天21时21分13秒
1073,小个子百灵（每天晚上7点直播）,xgz666807,341110,female,穿搭,0,233043,4.3w,589.5,5.9,4.83,30,195,5天2时35分41秒
1074,小个子切糕教穿搭,Qiegaolive,1161378,female,穿搭,0,98105,5.4w,589,5.89,4.99,34,196,5天3时21分56秒
1075,寻路人,xlr2016,111786,female,穿搭,0,68021,2.1w,588,5.88,4.99,39,277,5天15时26分21秒
1076,小伙爱泡菜,dy9c9atiyvbr,2345579,male,美食,7,219016,19.6w,587.9,5.88,4.99,51,50,5天16时35分57秒
1077,小银子户外休闲,Xyz13675824776,224129,female,生活,10,139212,7.4w,587.5,5.88,4.79,28,53,7天12时4分3秒
1078,清子穿搭分享（早上9点直播）,gaizao2019,2183577,female,穿搭,0,73287,4.8w,587.1,5.87,1.68,30,62,9天7时39分11秒
1079,小倩（只带高端货）,sc65169,201095,female,美妆,8,30440,4.1w,586.7,5.87,4.54,50,93,5天5时42分32秒
1080,新潮流服装工厂,YL86886,634261,male,生活,10,405283,16.1w,586.6,5.87,4.7,32,294,3天20时28分57秒
1081,贾不假品牌female鞋,jiabujiaxiefang,2244822,female,穿搭,0,79366,8.0w,586.2,5.86,1.66,49,121,20天17时11分48秒
1082,凯飒真丝,gr300l,216658,female,穿搭,0,27777,4.0w,584.7,5.85,4.99,22,126,2天23时28分11秒
1083,Nice然姐,99999999rran,3394281,female,教育,4,89782,3.7w,584.7,5.85,5,14,83,3天5时58分
1084,琳欧尼百货店,linouni123,291777,female,美食,7,83087,17.3w,584.3,5.84,5,16,308,1天15时18分45秒
1085,小北职业穿搭,dy6mzc8y6b1n,1260701,female,穿搭,0,220959,3.3w,584.2,5.84,4.94,40,182,27天18时23分54秒
1086,叶子服饰优选工厂店,2065619736,149335,female,穿搭,0,100772,10.6w,583.8,5.84,1.69,29,533,5天6时38分32秒
1087,BEASTER官方旗舰店,BEASTER_OFFICIAL,167867,female,穿搭,0,53550,3.2w,583.4,5.83,4.95,62,194,11天22时38分18秒
1088,谷瑞可设计师品牌服装,GKE58998,239043,female,生活,10,38636,3.0w,583.2,5.83,4.79,31,130,4天14时1分33秒
1089,慢城茶具,manchengchaju,656965,male,种草,14,23679,8.3w,582.3,5.82,4.83,98,16726,11天21时39分18秒
1090,无限畅官方旗舰店,wxc101,77899,female,美食,7,26836,1.9w,582.2,5.82,4.78,52,6,21天9时23分47秒
1091,小天鹅洗衣机,littleswan,560512,female,生活,10,17646,1315,581.9,5.82,4.47,35,52,10天3时1分7秒
1092,卡拉羊总裁华姐店,1976608917,355512,female,珠宝,0,50981,2.6w,581.6,5.82,4.87,20,51,7天13时37分46秒
1093,花子flower定制,hua123985,137678,female,穿搭,0,78875,11.0w,581.5,5.82,1.76,55,123,9天17时58分26秒
1094,简单?生活,Chloe.J,4336573,male,生活,10,75333,4.2w,581.5,5.82,4.87,73,58,3天17时58分8秒
1095,悦悦的宝藏小屋,dymyi9l6d1gb,176655,female,种草,14,61193,19.6w,581.4,5.81,3.1,25,43,5天1时6分32秒
1096,媛媛姐,53584496506,17679,female,珠宝,0,17686,8852,580.7,5.81,4.73,18,35,23时55分06秒
1097,小花星爷,hanazg28,94245,female,穿搭,0,13110,326,580.7,5.81,4.29,39,1428,6天5时11分32秒
1098,大德珠宝玉石,34934793290,76854,male,珠宝,0,26718,2.6w,580.3,5.8,4.54,20,910,1天23时31分50秒
1099,张丹丹的育儿经,zhangdandand,5668823,female,教育,4,42470,4.8w,579,5.79,4.81,30,352,2天23时50分58秒
1100,辽宁晨泉教育咨询有限公司,liaoningchen89,385765,female,网红,12,113840,8.0w,578.3,5.78,4.79,33,530,6天9时55分5秒
1101,导演：杨永春,X666Y8888,2333565,male,生活,10,35309,4492,577.7,5.78,3.85,2,11,3时41分14秒
1102,梧小桐studio,111950065,504309,female,穿搭,0,211248,7.0w,576.8,5.77,4.45,25,130,5天6时1分32秒
